industry_name,symbol,name,amount,change_pct,amount_norm,change_abs_norm,hot_score,data_source
食品饮料_sample,600519,贵州茅台,5867830633.0,-0.972,1.0,0.823728813559322,0.9471186440677966,spot_ak
食品饮料_sample,000858,五 粮 液,2315776877.0,-0.927,0.3913122661304648,0.7855932203389832,0.5095965523930204,spot_ak
食品饮料_sample,600887,伊利股份,1269389378.0,1.18,0.21200100586593396,1.0,0.44840070410615374,spot_ak
食品饮料_sample,000568,泸州老窖,997188785.0,-1.165,0.1653561143489505,0.9872881355932204,0.4119357207222315,spot_ak
食品饮料_sample,000596,古井贡酒,271973699.0,-0.855,0.041081664245346816,0.7245762711864407,0.246130046327675,spot_ak
银行_sample,601318,中国平安,4946050442.0,0.092,1.0,0.04395604395604395,0.7131868131868131,spot_ak
银行_sample,600000,浦发银行,1356643850.0,2.093,0.20660215009635555,1.0,0.44462150506744885,spot_ak
银行_sample,601939,建设银行,1324008676.0,1.677,0.1993885129061469,0.8012422360248448,0.37994462984175625,spot_ak
银行_sample,600036,招商银行,2617323723.0,0.162,0.48526121950472856,0.07740086000955566,0.36290311165617667,spot_ak
银行_sample,601166,兴业银行,1682424373.0,1.077,0.2786122609221298,0.5145723841376015,0.3494002978867713,spot_ak
